2026 NFL Schedule with Kickoff Times:

Week 1:
  Titans @ Bengals                     1:00 PM ET
  Jaguars @ Colts                      1:00 PM ET
  Browns @ Saints                      9:30 AM ET (Paris, France)
  Packers @ Bears                      8:15 PM ET (Monday Night Football)
  Rams @ Raiders                       4:25 PM ET
  Dolphins @ Jets                      1:00 PM ET
  Ravens @ Falcons                     1:00 PM ET
  Giants @ Seahawks                    8:20 PM ET (Thanksgiving Night Football)
  Broncos @ Panthers                   1:00 PM ET
  49ers @ Chiefs                       3:00 PM ET (Friday Night Football)
  Cardinals @ Cowboys                  4:30 PM ET (Thanksgiving)
  Eagles @ Commanders                  8:20 PM ET (Sunday Night Football)
  Buccaneers @ Lions                   12:30 PM ET (Thanksgiving)
  Bills @ Vikings                      4:25 PM ET
  Bye: Patriots, Steelers

Week 13:
  Panthers @ Falcons                   8:15 PM ET (Thursday Night Football)
  Eagles @ Giants                      1:00 PM ET
  Ravens @ Browns                      4:05 PM ET
  Saints @ Bengals                     1:00 PM ET
  Commanders @ Titans                  1:00 PM ET
  Jets @ Lions                         1:00 PM ET
  Steelers @ Jaguars                   1:00 PM ET
  Cowboys @ Colts                      4:25 PM ET
  Rams @ Buccaneers                    1:00 PM ET
  Chiefs @ Raiders                     4:05 PM ET
  Patriots @ Seahawks                  1:00 PM ET
  Bears @ Bills                        8:20 PM ET (Sunday Night Football)
  Cardinals @ 49ers                    8:15 PM ET (Monday Night Football in Mexico)
  Bye: Broncos, Chargers, Dolphins, Packers, Texans, Vikings

Week 14:
  Seahawks @ Eagles                    8:15 PM ET (Thursday Night Football)
  Bears @ Vikings                      1:00 PM ET
  Browns @ Jets                        4:25 PM ET
  Dolphins @ Patriots                  1:00 PM ET
  Bengals @ Steelers                   1:00 PM ET
  Raiders @ Cardinals                  4:05 PM ET
  Colts @ Chiefs                       1:00 PM ET
  Texans @ Commanders                  9:30 PM ET (London, UK)
  Falcons @ Buccaneers                 1:00 PM ET
  Saints @ Panthers                    1:00 PM ET
  Lions @ Packers                      1:00 PM ET
  Chargers @ Ravens                    1:00 PM ET
  Jaguars @ Broncos                    8:20 PM ET (Sunday Night Football)
  Bills @ Rams                         4:25 PM ET
  Titans @ Giants                      8:15 PM ET (Monday Night Football)
  Bye: 49ers, Cowboys

Week 15:
  Steelers @ Patriots                  8:15 PM ET (Thursday Night Football)
